Population,Line,Replicate,Treatment,Pot ID,Harvest Date,rosette leaf num,fresh rosette mass (g),dried rosette mass (g),Fresh reproductive mass (g),Dry reproductive mass (g),Fresh root mass (g),Dry root masss (g),
BELM,1,1,Current,B1-1-C,11/16/2021,22,1.35,0.1915,-,1.5509,0.86,0.11385,
BELM,1,2,Current,B1-2-C,11/16/2021,14,-,0.08158,-,0.9884,-,,
BELM,1,3,Current,B1-3-C,11/15/2021,21,-,0.21867,-,1.502,-,,
BELM,1,4,Current,B1-4-C,11/16/2021,20,-,0.17958,-,1.6429,-,,
BELM,1,5,Current,B1-5-C,11/16/2021,20,1.46,0.22084,-,1.8799,1.18,0.17706,
BELM,1,6,Current,B1-6-C,11/15/2021,22,-,0.32695,-,2.156,-,,
BELM,2,1,Current,B2-1-C,11/17/2021,13,-,0.0946,-,1.0427,-,,
BELM,3,1,Current,B3-1-C,11/17/2021,22,-,0.28557,-,2.0467,-,,
BELM,3,2,Current,B3-2-C,11/16/2021,22,-,0.36903,-,2.0327,-,,
BELM,4,2,Current,B4-2-C,11/17/2021,9,-,0.02211,-,0.2456,-,,9 more leaves by primary shoots
BELM,8,1,Current,B8-1-C,11/13/2021,35,2.6862,0.42973,8.49,2.6249,-,,conservative leaf number count is 23
BELM,8,2,Current,B8-2-C,11/16/2021,34,-,0.55686,-,2.0611,-,,conservative leaf number count is 28
BELM,12,1,Current,B12-1-C,11/17/2021,16,-,0.0877,-,0.8546,-,,
BELM,12,2,Current,B12-2-C,11/18/2021,14,-,0.08191,-,0.9133,-,,
BELM,13,1,Current,B13-1-C,11/18/2021,16,-,0.11991,-,0.9473,-,,
BELM,13,2,Current,B13-2-C,11/18/2021,21,-,0.17217,-,1.7123,-,,
BELM,15,1,Current,B15-1-C,11/18/2021,24,-,0.22981,-,1.9204,-,,
BELM,15,2,Current,B15-2-C,11/17/2021,21,-,0.21264,-,2.0927,-,,
RODA,2,1,Current,R2-1-C,12/1/2021,26,-,0.28388,-,1.6335,-,,
RODA,2,2,Current,R2-2-C,12/12/2021,31,-,0.30131,-,2.0417,-,,
RODA,5,1,Current,R5-1-C,12/2/2021,20,-,0.13606,-,1.2257,-,,
RODA,8,1,Current,R8-1-C,12/7/2021,25,-,0.2371,-,1.9083,-,,
RODA,8,2,Current,R8-2-C,12/7/2021,25,-,0.193,-,1.9623,-,,
RODA,9,1,Current,R9-1-C,12/16/2021,28,-,0.31559,-,2.5963,-,,
RODA,9,2,Current,R9-2-C,12/16/2021,26,-,0.25721,-,1.986,-,,
RODA,11,1,Current,R11-1-C,12/16/2021,35,-,0.33439,-,2.7061,-,,
RODA,11,2,Current,R11-2-C,12/16/2021,31,-,0.32511,-,1.8575,-,,
RODA,15,1,Current,R15-1-C,12/9/2021,33,-,0.54998,-,2.4718,-,,
RODA,15,2,Current,R15-2-C,12/2/2021,24,-,0.21804,-,1.3397,-,,
RODA,21,1,Current,R21-1-C,12/8/2021,25,-,0.25357,-,,-,,mistake with reproductive mass! 2.0414 is an estimate
RODA,21,2,Current,R21-2-C,12/3/2021,28,-,0.32506,-,2.0731,-,,
RODA,26,1,Current,R26-1-C,12/10/2021,26,-,0.24704,-,1.79954,-,,
RODA,26,2,Current,R26-2-C,12/10/2021,42,-,,-,2.34497,-,,not sure on rosette mass because of error with labelling
RODA,29,1,Current,R29-1-C,12/1/2021,26,-,0.23142,-,1.4518,-,,
RODA,29,2,Current,R29-2-C,12/7/2021,30,-,0.28259,-,1.9503,-,,
RODA,33,2,Current,R33-2-C,11/24/2021,27,-,0.27448,-,1.7046,-,,
RODA,35,1,Current,R35-1-C,12/2/2021,34,-,0.32028,-,2.0256,-,,
RODA,35,2,Current,R35-2-C,12/9/2021,21,-,0.11827,-,1.2312,-,,
RODA,40,1,Current,R40-1-C,12/1/2021,28,-,0.29817,-,1.6587,-,,
RODA,40,2,Current,R40-2-C,12/7/2021,28,-,0.45431,-,1.776,-,,
RODA,47,1,Current,R47-1-C,12/8/2021,21,-,0.16186,-,,-,,mistake with reproductive mass!1.2501 is my best estimate
RODA,47,2,Current,R47-2-C,12/8/2021,24,-,0.22836,-,1.9483,-,,
RODA,47,3,Current,R47-3-C,12/6/2021,25,1.93,0.23074,6.97,1.6503,0.81,0.21055,
RODA,47,4,Current,R47-4-C,10/28/2021,25,2.82,0.25508,1.18,0.11322,-,0.20106,
RODA,47,5,Current,R47-5-C,10/28/2021,24,2.22,0.20933,0.93,0.09302,0.39,0.11717,
RODA,47,6,Current,R47-6-C,12/6/2021,22,1.61,0.17616,7.67,1.6788,0.48,0.17948,
BELM,1,1,Current/Future,B1-1-CF,11/5/2021,25,0.2267,0.05136,0.5091,0.14243,-,,
BELM,1,2,Current/Future,B1-2-CF,11/2/2021,15,0.1344,0.01597,0.4067,0.08886,-,,
BELM,1,3,Current/Future,B1-3-CF,11/1/2021,23,0.5214,0.0863,0.8427,0.27263,-,,
BELM,1,4,Current/Future,B1-4-CF,11/2/2021,22,0.6037,0.09545,0.8077,0.24876,-,,
BELM,1,5,Current/Future,B1-5-CF,11/3/2021,23,0.4237,0.06428,0.7114,0.24164,-,,
