Population,Line,Replicate,Treatment,Pot.ID,ImageJ_FruitCount,ImageJ_Counter,"bolting stalk (bent, broken, leaning, straight(",num lateral branches from main stalk,num primary stalks from rosette (main included),height main stalk (cm),total fruit num,num fruits collected,fruit collected location,done flowering,number flowers left,Notes,All Fruit Collected Weight (mg),seeds only weight,scanner position,scanned photo name,ImageJ_seed count,SeedCounter,BasiaFruitCount,Notes2
BELM,1,1,Current,B1-1-C,797,TM,broken,6,9,54.5,878,10,"15,17,21,23,25,27,29,32,2 on sides",n,13,broken branch is not drying; 3 additional primary stalks had no flowers and were not counted,19.58,12.83,9,4,504,,833,KB assumed
BELM,1,2,Current,B1-2-C,550,TM,leaning,6,8,57.5,584,10,"11,13,15,17,19,21,23,25,27,29",y,0,,21.33,13.2,10,4,523,,567,KB assumed
BELM,1,3,Current,B1-3-C,807,TM,broken,6,14,54,940,10,"5,7,11,13,15,17,19,21,23,25",n,23,broken branch is drying,15.4,8.45,3,5,378,CC,887,
BELM,1,4,Current,B1-4-C,853,TM,broken,6,11,59,966,10,"14,15,17,19,22,24,26,28,32,34",n,14,broken branch is drying,21.04,12.95,2,5,531,CC,969,
BELM,1,5,Current,B1-5-C,1007,TM,bent,6,10,59.5,1094,10,"8,14,17,19,20,21,23,25,26 + 2 on sides",n,49,5 additional primary stalks with no flowers,21.23,13.28,3,3,524,CH,1039,
BELM,1,6,Current,B1-6-C,888,TM,bent,10,11,61,944,10,"5,8,10,12,14,15,17,20,22,24",n,43,3 additional primary stalks with no flowers,16,9.5,4,5,419,CC,883,
BELM,2,1,Current,B2-1-C,494,TM,leaning,6,10,50,552,10,"5,7,9,11,13,15,17,19,21,24",y,0,,19.75,12.8,2,8,597,EA,501,
BELM,3,1,Current,B3-1-C,1009,SB,bent,7,13,57.5,1135,11,"10,12,14,17,19,22,24,26,29,31,33",n,48,"2 of the primary stalks were noted as tiny, there were 2 additional primary stalks with no flowers that are not counted in the 13",21.01,14.17,5,5,561,CC,928,SB recounted 1009 fruits on 8/15/2024. that is a big difference from the initial 829 (TX). Changed to my value
BELM,3,2,Current,B3-2-C,1033,TM,bent,7,13,66.5,1136,10,"13,15,17,19,21,23,25,29,31,33",n,26,,19.49,12.73,8,6,599,CC,1049,
BELM,4,2,Current,B4-2-C,166,TM,leaning,3,11,36.5,189,10,"6,8,10,12,14,16,18,20, + 2 on sides",n,4,6 of the primary stalks were noted as tiny,14.71,8.8,1,7,501,CC,167,
BELM,8,1,Current,B8-1-C,1023,TM,bent,7,17,63,1093,10,"10,12,14,16,19,21,23,25,27,29",n,116,side branch is broken,21.41,12.4,10,6,544,CC,1061,
BELM,8,2,Current,B8-2-C,665,TM,bent,8,16,61.5,885,10,"8,11,15,17,21,23,25,28,30,32",n,110,,25.87,15.72,11,4,543,SB,741,
BELM,12,1,Current,B12-1-C,455,TM,bent,6,9,54,640,10,"12,17,19,22,24,26,28,30,32,34",n,6,2 of the primary stalks were noted as tiny,14.49,8.06,6,5,271,CC,464,SB recounted 279 in 8/2024
