Weigh Order,Population,Line,Replicate,Treatment,Pot ID,LeafNum_ 07222021,Notes,LeafNum_08262021,NumRemoved_08262021,RosetteLeafNum_10042021,StalkLeafNum_10042021,notes,RosetteLeafNum_bolt,notes,RosetteLeafNum_Flower,StalkLeafNum_Flower,notes,,,,,,
1,BELM,1,6,Current,B1-6-C,6,,14,n,22.00,9.00,10 on lateral shoots,,,21,32,6 lateral shoots started (many leaves),,,,,,
2,BELM,13,2,Current,B13-2-C,6,,12,n,23.00,9.00,bolted 10/5,,bolted 10/5,,,,,,,,,
3,RODA,2,1,Current,R2-1-C,6,,12,n,27.00,0.00,,,there was a note of 30+10 @flower? And then the flower number noted later from 10/22. 30+10 was discarded because it doesn't match here. Maybe was R2-1-CF?,28,22,,,,,,,
4,RODA,21,1,Current,R21-1-C,6,,13,n,26.00,0.00,,28,,,,,,,,,,
5,RODA,29,2,Current,R29-2-C,6,,14,n,31.00,0.00,,33,,,,,,,,,,
6,BELM,3,1,Current,B3-1-C,6,,14,n,21.00,13.00,8 on lateral branches,,,,,flowered 10/6,,,,,,
7,RODA,29,1,Current,R29-1-C,6,,11,n,28.00,0.00,,30,,,,,,,,,,
8,BELM,2,2,Current,B2-2-C,0,,0,y,,,,,,,,,,,,,,
9,RODA,11,1,Current,R11-1-C,6,,14,n,32.00,0.00,,38,,,,,,,,,,
10,RODA,47,1,Current,R47-1-C,2,,6,n,20.00,0.00,,25,,,,,,,,,,
11,BELM,12,2,Current,B12-2-C,2,,8,n,17.00,6.00,flower 10/4,,,,,,,,,,,
12,BELM,1,2,Current,B1-2-C,4,,10,n,15.00,6.00,flower 10/3,,,,,,,,,,,
13,RODA,8,2,Current,R8-2-C,5,,12,n,22.00,0.00,,29,on 10/14,23,39,1 started lateral shoot,,,,,,
14,RODA,47,4,Current,R47-4-C,4,,12,n,28.00,0.00,,31,,,,,,,,,,
15,BELM,4,2,Current,B4-2-C,0,empty; no toothpick in image,2,n,13.00,5.00,,,,11,10,6 on lateral shoots,,,,,,
16,RODA,47,6,Current,R47-6-C,4,,9,n,23.00,0.00,,28,,,,,,,,,,
17,RODA,47,5,Current,R47-5-C,4,,10,n,25.00,0.00,,29,,,,,,,,,,
18,RODA,40,1,Current,R40-1-C,4,,12,n,29.00,0.00,,34,,,,,,,,,,
19,RODA,8,1,Current,R8-1-C,4,,11,n,24.00,0.00,,31,,,,,,,,,,
20,RODA,9,2,Current,R9-2-C,6,,12,n,25.00,0.00,bolt 10/6,,bolt 10/6,,,,,,,,,
21,RODA,15,2,Current,R15-2-C,4,,10,n,24.00,0.00,,28,,,,,,,,,,
22,RODA,5,2,Current,R5-2-C,0,,0,y,,,,,,,,,,,,,,
23,BELM,12,1,Current,B12-1-C,4,,10,n,19.00,12.00,4 on lateral shoots,,,18,0,not sure which day four on lateral is for,,,,,,
24,RODA,33,1,Current,R33-1-C,0,,0,y,,,,,,,,,,,,,,
25,RODA,47,2,Current,R47-2-C,6,,12,n,25.00,0.00,,31,,,,,,,,,,
26,BELM,15,2,Current,B15-2-C,6,,14,n,21.00,13.00,19 on lateral shoots,,,,,flowererd 10/4,,,,,,
27,RODA,47,3,Current,R47-3-C,6,,13,n,28.00,0.00,,31,,,,,,,,,,
28,BELM,4,1,Current,B4-1-C,0,,0,y,,,,,,,,,,,,,,
29,RODA,11,2,Current,R11-2-C,6,,12,n,29.00,0.00,,38,,,,,,,,,,
30,RODA,35,2,Current,R35-2-C,2,picture out of order.,6,n,17.00,0.00,,21,,,,,,,,,,
31,BELM,2,1,Current,B2-1-C,2,,6,n,16.00,5.00,,,,16,18,4 on 2 lateral shoots,,,,,,
32,RODA,26,2,Current,R26-2-C,4,,14,n,34.00,0.00,,40,,,,,,,,,,
33,RODA,5,1,Current,R5-1-C,4,,5,n,17.00,0.00,,25,,,,,,,,,,
34,BELM,8,1,Current,B8-1-C,6,,16,n,22.00,19.00,41 on lateral shoots,,,,,flowered on 10/5,,,,,,
35,RODA,35,1,Current,R35-1-C,6,,14,n,34.00,0.00,,39,,,,,,,,,,
36,RODA,15,1,Current,R15-1-C,6,,15,n,32.00,0.00,,39,,,,,,,,,,
37,RODA,26,1,Current,R26-1-C,4,,10,n,26.00,0.00,,30,,29,8,,,,,,,
38,BELM,8,2,Current,B8-2-C,6,,16,n,25.00,6.00,19 on lateral shoots,,,25,44,8 lateral shoots with `7 leaves each,,,,,,
39,BELM,1,4,Current,B1-4-C,6,,18,n,22.00,25.00,13 on lateral shoots,,,,,flowered 9/28,,,,,,
40,BELM,3,2,Current,B3-2-C,6,,16,n,25.00,7.00,10 on lateral shoots,,,25.00,21.00,20 leaves on lateral shoots,,,,,,
41,RODA,21,2,Current,R21-2-C,6,,12,n,28.00,0.00,,31,,,,,,,,,,
42,BELM,15,1,Current,B15-1-C,6,,15,n,25.00,19.00,14 on lateral shoots,,,,,flowered 10/1,,,,,,
43,RODA,2,2,Current,R2-2-C,4,,13,n,28.00,0.00,,33,,,,,,,,,,
44,RODA,33,2,Current,R33-2-C,4,,14,n,27.00,0.00,,,,,,,,,,,,
45,RODA,40,2,Current,R40-2-C,4,,12,n,28.00,0.00,,34,,,,,,,,,,
46,BELM,1,5,Current,B1-5-C,6,,17,n,24.00,26.00,9 on lateral shoots,,,,,flowered 10/5,,,,,,
47,BELM,13,1,Current,B13-1-C,4,,8,n,16.00,6.00,,,,,,flowered 10/5,,,,,,
48,RODA,9,1,Current,R9-1-C,6,,11,n,28.00,0.00,,34,,,,,,,,,,
49,BELM,1,1,Current,B1-1-C,6,,17,n,22.00,29.00,7 on lateral shoots,,,,,flowered 10/1,,,,,,
50,BELM,1,3,Current,B1-3-C,6,,15,n,22.00,22.00,15 on lateral shoots,,,,,flowered 10/3,,,,,,
1,BELM,8,1,Current/Future,B8-1-CF,5,,13,n,21.00,31.00,31 on lateral shoots,,,,,flowered 9/30,,,,,,
2,RODA,15,2,Current/Future,R15-2-CF,6,,14,n,33.00,0.00,,,,30,10,,,,,,,
3,RODA,40,1,Current/Future,R40-1-CF,6,,13,n,29.00,0.00,,30,,,,,,,,,,
4,RODA,29,2,Current/Future,R29-2-CF,4,,12,n,29.00,0.00,,,,29,9,,,,,,,
5,RODA,29,1,Current/Future,R29-1-CF,6,,14,n,28.00,0.00,,31,,29,8,,,,,,,
6,RODA,26,1,Current/Future,R26-1-CF,6,,12,n,29.00,0.00,,,envelope is blank,,,,,,,,,
7,RODA,33,2,Current/Future,R33-2-CF,6,,15,n,34.00,0.00,,,,27,14,,,,,,,
8,RODA,9,1,Current/Future,R9-1-CF,6,,13,n,28.00,0.00,,31,,28,15,,,,,,,
9,BELM,15,1,Current/Future,B15-1-CF,6,,15,n,23.00,21.00,10 on lateral shoots,,,,,flowered 9/22,,,,,,
10,RODA,47,5,Current/Future,R47-5-CF,4,,11,n,27.00,0.00,,31,,,,,,,,,,
11,RODA,33,1,Current/Future,R33-1-CF,6,,14,n,33.00,0.00,,,,27,12,,,,,,,
12,RODA,5,1,Current/Future,R5-1-CF,4,,10,n,28.00,0.00,,29,,,,,,,,,,
13,RODA,35,1,Current/Future,R35-1-CF,6,,14,n,34.00,0.00,,36,,30,10,,,,,,,
14,RODA,8,1,Current/Future,R8-1-CF,6,,14,n,33.00,0.00,,,,31,8,,,,,,,
15,RODA,5,2,Current/Future,R5-2-CF,0,,0,y,,,,,,,,,,,,,,
16,RODA,47,6,Current/Future,R47-6-CF,2,barely open cotelydons,0,y,,,,,,,,,,,,,,
17,RODA,2,2,Current/Future,R2-2-CF,6,,14,n,33.00,0.00,,,,33,8,,,,,,,
18,RODA,35,2,Current/Future,R35-2-CF,6,,12,n,31.00,0.00,,32,,29,8,,,,,,,
19,RODA,40,2,Current/Future,R40-2-CF,4,,9,n,27.00,0.00,,27,,25,8,,,,,,,
20,BELM,1,2,Current/Future,B1-2-CF,2,,7,n,16.00,17.00,,,,,,flowered 9/27,,,,,,
21,BELM,8,2,Current/Future,B8-2-CF,6,,14,n,23.00,37.00,18 on lateral shoots,,,,,flowered 9/30,,,,,,
22,RODA,11,2,Current/Future,R11-2-CF,4,,12,n,31.00,0.00,,34,,,,,,,,,,
23,BELM,2,2,Current/Future,B2-2-CF,0,,2,n,,,dead after vern,,,,,,,,,,,
24,BELM,4,2,Current/Future,B4-2-CF,2,new emergent!!! What?,4,n,14.00,13.00,,,,,,flowered 10/3,,,,,,
25,RODA,21,1,Current/Future,R21-1-CF,6,,12,n,30.00,0.00,,30,,,,,,,,,,
26,BELM,1,5,Current/Future,B1-5-CF,6,,14,n,22.00,20.00,,,,,,flowered 9/18,,,,,,
27,RODA,47,3,Current/Future,R47-3-CF,4,,9,n,30.00,0.00,,30,,,,,,,,,,
28,BELM,12,1,Current/Future,B12-1-CF,6,,15,n,21.00,25.00,box around it; 2 on lateral shoots,,,,,flowered 9/22,,,,,,
29,RODA,21,2,Current/Future,R21-2-CF,6,,12,n,32.00,0.00,,32,,34,0,,,,,,,
30,RODA,9,2,Current/Future,R9-2-CF,6,,12,n,28.00,0.00,,32,,,,,,,,,,
31,RODA,47,2,Current/Future,R47-2-CF,5,,13,n,31.00,0.00,,,,29,7,includes leaf removed at flowering … counted at flower,,,,,,
32,RODA,47,4,Current/Future,R47-4-CF,4,,12,n,31.00,0.00,,32,,,,,,,,,,
33,RODA,47,1,Current/Future,R47-1-CF,6,,13,n,31.00,0.00,,33,,,,,,,,,,
34,RODA,8,2,Current/Future,R8-2-CF,6,,14,n,29.00,0.00,,32,,,,,,,,,,
35,BELM,15,2,Current/Future,B15-2-CF,6,,16,n,25.00,20.00,15 on lateral shoots,,,,,flowered 9/23,,,,,,
36,BELM,1,1,Current/Future,B1-1-CF,5,,15,n,23.00,24.00,,,,,,flowered 9/21,,,,,,
