Population,Line,Replicate,Treatment,Pot ID,pot labelled?,Labelled Pot Weight (g),Pot + dry Soil Weight (g),Soil Added Weight (g),Soil Mix Batch Number,Pot + wet soil weight (g),Water weight (g),H20(g) / soil (g),First Calc of FC weight,oven dried soil (g),oven dried soil + empty pot (W0),g H20 at FC (wf-W0 equivalent),Notes,,,,
BELM,1,1,Current,B1-1-C,yes,6.817,56.8417,50.0247,1,180.05,123.21,2.46,120.77,22.86,29.68,143.57,,,,,
BELM,1,2,Current,B1-2-C,yes,6.64,56.914,50.274,4,157.72,100.81,2.01,121.37,22.97,29.61,144.29,,,,,
BELM,1,3,Current,B1-3-C,yes,6.808,57.2148,50.4068,8,176.96,119.75,2.38,121.69,23.03,29.84,144.67,,,,,
BELM,1,4,Current,B1-4-C,yes,6.809,56.3944,49.5854,6,182.91,126.52,2.55,119.71,22.66,29.47,142.31,,,,,
BELM,1,5,Current,B1-5-C,yes,6.822,56.9775,50.1555,3,180.47,123.49,2.46,121.08,22.92,29.74,143.95,,,,,
BELM,1,6,Current,B1-6-C,yes,6.442,56.728,50.286,3,178.61,121.88,2.42,121.40,22.98,29.42,144.32,,,,,
BELM,2,1,Current,B2-1-C,yes,6.755,57.2028,50.4478,7,177.68,120.48,2.39,121.79,23.05,29.81,144.78,,,,,
BELM,2,2,Current,B2-2-C,yes,6.837,56.6555,49.8185,4,175.53,118.87,2.39,120.27,22.76,29.60,142.98,need to be careful pots that are R/B different but overlapping numbers because the labels look rather similar.,,,,
BELM,3,1,Current,B3-1-C,ues,6.886,56.6058,49.7198,3,177.62,121.01,2.43,120.03,22.72,29.61,142.70,,,,,
BELM,3,2,Current,B3-2-C,yes,6.506,56.7993,50.2933,2,183.14,126.34,2.51,121.42,22.98,29.49,144.34,,,,,
BELM,4,1,Current,B4-1-C,yes,6.54,56.0913,49.5513,4,181.26,125.17,2.53,119.62,22.64,29.18,142.21,,,,,
BELM,4,2,Current,B4-2-C,yes,6.439,56.7674,50.3284,4,174.66,117.89,2.34,121.50,23.00,29.44,144.44,,,,,
BELM,8,1,Current,B8-1-C,yes,6.523,56.3853,49.8623,8,178.87,122.48,2.46,120.37,22.78,29.31,143.10,,,,,
BELM,8,2,Current,B8-2-C,yes,6.398,55.9712,49.5732,6,180.23,124.26,2.51,119.68,22.65,29.05,142.27,,,,,
BELM,12,1,Current,B12-1-C,yes,6.81,56.3139,49.5039,4,166.38,110.07,2.22,119.51,22.62,29.43,142.08,,,,,
BELM,12,2,Current,B12-2-C,yes,6.802,57.1293,50.3273,mix,182.34,125.21,2.49,121.50,23.00,29.80,144.44,,,,,
BELM,13,1,Current,B13-1-C,yes,6.836,56.5054,49.6694,5,180.32,123.81,2.49,119.91,22.70,29.53,142.55,,,,,
BELM,13,2,Current,B13-2-C,yes,6.53,56.6996,50.1696,7,170.26,113.56,2.26,121.12,22.93,29.46,143.99,,,,,
BELM,15,1,Current,B15-1-C,yes,6.629,56.8652,50.2362,6,180.66,123.79,2.46,121.28,22.96,29.58,144.18,,,,,
BELM,15,2,Current,B15-2-C,yes,6.696,56.8767,50.1807,8,175.68,118.80,2.37,121.14,22.93,29.63,144.02,,,,,
RODA,2,1,Current,R2-1-C,yes,6.892,56.6456,49.7536,5,173.17,116.52,2.34,120.11,22.74,29.63,142.79,,,,,
RODA,2,2,Current,R2-2-C,yes,6.634,56.7557,50.1217,8,180.7,123.94,2.47,121.00,22.90,29.54,143.85,,,,,
RODA,5,1,Current,R5-1-C,ues,6.769,57.0733,50.3043,7,179.19,122.12,2.43,121.44,22.99,29.76,144.37,,,,,
RODA,5,2,Current,R5-2-C,yes,6.632,56.4349,49.8029,4,175.31,118.88,2.39,120.23,22.76,29.39,142.93,,,,,
RODA,8,1,Current,R8-1-C,yes,6.551,56.7733,50.2223,2,178.75,121.98,2.43,121.24,22.95,29.50,144.14,,,,,
