Population,Line,Replicate,Treatment,Pot ID,Leaf_Collected,FreshWt_g,SatWt_g,DriedWt_g,Notes,LeafArea,LeafPerimeter,Scale (pixels/cm),Notes
BELM,1,1,Current/Future,B1-1-CF,9/22/2021,0.0173,0.0214,0.0025,open 9/23; no scale in photo,0.999,5.848,,converted
BELM,12,1,Current/Future,B12-1-CF,9/22/2021,0.019,0.0262,0.0032,open 9/23; no scale in photo,1.219,6.668,,converted
BELM,1,2,Current/Future,B1-2-CF,9/22/2021,0.0076,0.0107,0.00107,dried on 10^-5 scale; no scale in photo,0.57,4.307,,converted
BELM,13,2,Current/Future,B13-2-CF,9/22/2021,0.0183,0.0235,0.0018,collected twice,1.084,5.901,,
BELM,1,3,Current/Future,B1-3-CF,9/22/2021,0.0286,0.0387,0.0045,open 9/23; no scale in photo,1.506,6.692,,
BELM,1,4,Current/Future,B1-4-CF,9/22/2021,0.0299,0.0392,0.0048,open 9/23; no scale in photo,1.644,7.149,,
BELM,15,1,Current/Future,B15-1-CF,9/22/2021,0.0275,0.0419,0.0049,,1.602,7.026,,
BELM,1,5,Current/Future,B1-5-CF,9/22/2021,0.018,0.024,0.0034,open 9/23; no scale in photo,1.181,6.347,,
BELM,3,2,Current/Future,B3-2-CF,9/22/2021,0.0271,0.0388,0.005,collected twice,1.525,6.753,,
BELM,15,2,Current/Future,B15-2-CF,9/23/2021,0.0286,0.0427,0.005,,1.545,7.278,,
BELM,13,2,Current/Future,B13-2-CF2,9/24/2021,0.0211,0.0265,0.0023,collectect twice,1.212,6.391,,
BELM,3,2,Current/Future,B3-2-CF2,9/26/2021,0.0423,0.055,0.0056,collected twice; no scale in photo,2.189,8.074,,
BELM,3,1,Current/Future,B3-1-CF,9/27/2021,0.0438,0.0548,0.0071,no scale in photo,2.164,8.027,,
BELM,15,2,Future,B15-2-F,9/27/2021,0.0469,0.0557,0.0056,no scale in photo; open,2.747,11.012,,
BELM,1,4,Current,B1-4-C,9/28/2021,0.0804,0.0937,0.0068,no scale in photo,4.399,14.349,,
BELM,1,1,Future,B1-1-F,9/28/2021,0.0249,0.0297,0.0036,,1.376,7.194,,
BELM,12,2,Future,B12-2-F,9/28/2021,0.0221,0.0273,0.0034,,1.255,6.84,,
BELM,1,3,Future,B1-3-F,9/29/2021,0.0272,0.0343,0.0038,,1.315,6.547,,
BELM,1,5,Future,B1-5-F,9/29/2021,0.0275,0.0323,0.0033,,1.551,7.315,,
BELM,8,1,Current/Future,B8-1-CF,9/30/2021,0.0409,0.095,0.0051,marked bolting again on 9/16/21 (originally was 9/13. spreadsheet ways 9/16 now),2.366,8.49,,
BELM,8,2,Current/Future,B8-2-CF,9/30/2021,0.0462,0.0571,0.0059,photo labelled as B8-2-C initially (fixed?,2.436,8.967,,
BELM,15,1,Future,B15-1-F,9/30/2021,0.0319,0.0392,0.0049,not open 10/2; later open,1.644,6.716,,
BELM,3,2,Future,B3-2-F,9/30/2021,0.0411,0.0514,0.0052,called bolting again on 9/20/21 (originally was 9/17/2021. spreadsheet now says 9/20),2.303,9.26,,
BELM,1,1,Current,B1-1-C,10/1/2021,0.1012,0.1171,0.0079,,5.25,16.013,,
BELM,15,1,Current,B15-1-C,10/1/2021,0.1776,0.1971,0.0123,,8.495,18.239,,from a cutoff leaf; not cutoff leaf is a converted image and is smaller than this
BELM,1,2,Current,B1-2-C,10/3/2021,0.0543,0.0619,0.0047,,3.121,12.272,,
BELM,1,3,Current,B1-3-C,10/3/2021,0.1057,0.1178,0.0094,,5.589,16.811,,
BELM,4,2,Current/Future,B4-2-CF,10/3/2021,0.0061,0.0081,0.00086,dried on 10^-5 scale,0.544,3.991,,
BELM,12,2,Current,B12-2-C,10/4/2021,0.0468,0.0496,0.0038,,2.989,11.942,,
BELM,15,2,Current,B15-2-C,10/4/2021,0.1772,0.1901,0.0128,,7.174,23.755,,
BELM,1,4,Future,B1-4-F,10/4/2021,0.0268,0.0324,0.004,,1.537,6.848,,
BELM,3,1,Future,B3-1-F,10/4/2021,0.026,0.0327,0.0039,leaf a bit wrinkled back in the lab,1.486,7.352,,
BELM,13,1,Current,B13-1-C,10/5/2021,0.0755,0.0844,0.0055,,4.626,15.178,,
BELM,13,2,Current,B13-2-C,10/5/2021,0.118,0.1314,0.0088,,5.611,17.477,,from a cutoff leaf; not cutoff leaf is a converted image and is smaller than this
BELM,1,5,Current,B1-5-C,10/5/2021,0.1241,0.1407,0.0103,open 10/6,6.68,18.686,,
BELM,8,1,Current,B8-1-C,10/5/2021,0.2671,0.287,0.0189,removed 1 leaf 9/30,12.156,21.105,,
BELM,1,6,Current/Future,B1-6-CF,10/5/2021,0.0668,0.0754,0.0079,no scale in photo,3.739,10.411,,
BELM,1,2,Future,B1-2-F,10/5/2021,0.0278,0.0348,0.0041,,1.583,7.025,,
BELM,12,1,Current,B12-1-C,10/6/2021,0.0571,0.0694,0.0051,removed 1 leaf 9/30,3.353,12.099,,
BELM,3,1,Current,B3-1-C,10/6/2021,0.1622,0.1791,0.0121,,8.12,20,,
BELM,8,1,Future,B8-1-F,10/6/2021,0.0795,0.0914,0.0093,,3.662,11.657,,
BELM,3,2,Current,B3-2-C,10/8/2021,0.1547,0.1748,0.0128,,7.155,18.589,,
BELM,2,1,Future,B2-1-F,10/9/2021,0.0288,0.0334,0.0028,,1.935,8.108,,
BELM,8,2,Current,B8-2-C,10/10/2021,0.2812,0.3114,0.0199,removed 2 leaves 9/30; in fridge for 48 hours,12.115,25.126,,
BELM,2,2,Future,B2-2-F,10/10/2021,0.0213,0.0273,0.0036,in fridge for 48 hours,1.269,6.078,,
BELM,1,6,Current,B1-6-C,10/11/2021,0.1817,0.2013,0.0128,might not be bolted by 9/29; removed 1 leaf 9/29,,,,MISSING
RODA,33,1,Current/Future,R33-1-CF,10/12/2021,0.0774,0.0936,0.0083,,4.192,11.871,,
RODA,11,2,Current/Future,R11-2-CF,10/13/2021,0.052,0.057,0.0056,,2.544,9.88,,
RODA,33,2,Current/Future,R33-2-CF,10/13/2021,0.0461,0.0585,0.0067,,2.434,9.132,,
BELM,8,2,Future,B8-2-F,10/13/2021,0.0323,0.0365,0.0034,,1.816,7.498,,
BELM,2,1,Current,B2-1-C,10/14/2021,0.0663,0.0777,0.0055,,4.191,14.443,,
RODA,21,2,Current/Future,R21-2-CF,10/14/2021,0.0499,0.0586,0.0054,,2.179,9.133,,
RODA,15,2,Current/Future,R15-2-CF,10/15/2021,0.0658,0.0767,0.0088,,3.216,10.53,,
RODA,2,2,Current/Future,R2-2-CF,10/15/2021,0.0572,0.0671,0.007,,2.602,9.497,,
RODA,47,2,Current/Future,R47-2-CF,10/16/2021,0.0593,0.0688,0.0071,,2.789,9.8,,
BELM,1,6,Future,B1-6-F,10/17/2021,0.0588,0.0688,0.0062,,2.947,11.064,,
RODA,2,1,Current/Future,R2-1-CF,10/18/2021,0.0371,0.0454,0.0056,,1.727,7.441,,
RODA,26,1,Current/Future,R26-1-CF,10/18/2021,0.0526,0.0601,0.0054,,2.325,10.098,,
RODA,29,1,Current/Future,R29-1-CF,10/18/2021,0.0432,0.0507,0.0053,,1.802,7.962,,
RODA,35,2,Current/Future,R35-2-CF,10/18/2021,0.0475,0.0587,0.0074,,2.217,9.695,,
RODA,8,1,Current/Future,R8-1-CF,10/18/2021,0.0603,0.0718,0.0081,,2.597,9.226,,
BELM,4,2,Current,B4-2-C,10/19/2021,0.0199,0.0244,0.0012,,1.366,7.289,,
RODA,29,2,Current/Future,R29-2-CF,10/20/2021,0.0477,0.0507,0.0053,,2.09,9.625,,
RODA,40,2,Current/Future,R40-2-CF,10/20/2021,0.0442,0.05,0.0047,,2.046,8.389,,
RODA,26,2,Future,R26-2-F,10/20/2021,0.0485,0.0565,0.0062,,2.168,9.25,,
RODA,35,1,Current/Future,R35-1-CF,10/21/2021,0.0349,0.0452,0.0074,,1.599,7.687,,
RODA,9,1,Current/Future,R9-1-CF,10/21/2021,0.0407,0.0471,0.0039,,1.918,8.023,,
RODA,2,1,Current,R2-1-C,10/22/2021,0.1643,0.1837,0.0143,10/10/ see buds,5.751,17.698,,
