Treatment,PotID,Line,Chamber,Flat,BoltingDate ,HarvestDate,SingleLeaf_FreshWt(g),TotalLeafNumber,RosetteLeafNumber,UnderLeavesNumber,LongestRootLength_cm,SingleLeafHydratedWt(g),RootHarvestDate,Notes
Current,B1-1-C,1,1,Current1,6/21/2022,6/21/2022,0.0357,46,,,16,0.0422,6/22/2022,
Current,B1-2-C,1,1,Current1,6/20/2022,6/20/2022,0.0435,49,,,17.9,0.0515,6/21/2022,SB harvested root 
Current,B1-3-C,1,2,Current3,6/21/2022,6/21/2022,0.0678,55,,,15.3,0.079,6/22/2022,
Current,B1-4-C,1,2,Current4,6/21/2022,6/21/2022,0.0759,46,,,16.4,0.0861,6/22/2022,
Current,B1-5-C,1,1,Current2,6/22/2022,6/22/2022,0.0419,50,,,16.2,0.0506,6/27/2022,
Current,B1-6-C,1,2,Current3,6/22/2022,6/22/2022,0.0366,43,,,16.2,0.0443,6/27/2022,
Current,B2-2-C,2,1,Current1,7/10/2022,7/11/2022,0.034,64,29,35,15,0.0412,7/13/2022,SB harvested root
Current,B3-1-C,3,1,Current2,6/23/2022,6/23/2022,0.0718,47,,,14.8,0.0835,6/29/2022,
Current,B3-2-C,3,1,Current1,6/26/2022,6/27/2022,0.0474,34,,,17,0.0575,6/30/2022,
Current,B3-3-C,3,2,Current3,6/23/2022,6/23/2022,0.0594,34,,,12.7,0.07,6/28/2022,
Current,B3-4-C,3,2,Current3,6/23/2022,6/23/2022,0.0653,44,,,16.1,0.0744,6/28/2022,
Current,B3-5-C,3,1,Current2,6/22/2022,6/22/2022,0.063,45,,,15,0.0765,6/27/2022,
Current,B3-6-C,3,2,Current4,6/22/2022,6/22/2022,0.0528,36,,,13.6,0.0635,6/27/2022,
Current,B8-1-C,8,1,Current1,6/26/2022,6/27/2022,0.1121,74,,,18.1,0.133,6/30/2022,
Current,B8-2-C,8,1,Current1,6/24/2022,6/24/2022,0.0578,46,,,17.2,0.0657,6/29/2022,rehydrating leaf left for ~41 hrs 
Current,B8-3-C,8,2,Current4,6/21/2022,6/21/2022,0.0521,56,,,14.6,0.0611,6/22/2022,
Current,B8-4-C,8,2,Current4,6/23/2022,6/23/2022,0.0469,50,,,18.2,0.0543,6/28/2022,
Current,B8-7-C,8,1,Current2,6/26/2022,6/27/2022,0.0833,66,,,16.3,0.0973,7/5/2022,
Current,B8-8-C,8,2,Current3,6/27/2022,6/27/2022,0.0897,60,,,14.3,0.1062,7/6/2022,
Current,B12-2-C,12,1,Current1,6/23/2022,6/23/2022,0.0283,31,,,15.2,0.0343,6/28/2022,
Current,B12-3-C,12,2,Current4,6/19/2022,6/19/2022,0.0228,42,,,18.4,0.0269,6/21/2022,SB harvested root 
Current,B12-4-C,12,2,Current3,6/28/2022,6/28/2022,0.0121,28,,,16.3,0.0133,7/5/2022,
Current,B13-1-C,13,1,Current2,6/27/2022,6/27/2022,0.0559,31,,,17.7,0.0641,6/30/2022,
Current,B13-2-C,13,1,Current2,6/23/2022,6/23/2022,0.0549,42,,,18,0.0674,6/28/2022,
Current,B13-3-C,13,2,Current4,6/26/2022,6/27/2022,0.0809,51,,,15.9,0.0921,7/6/2022,
Current,B13-4-C,13,2,Current3,6/28/2022,6/28/2022,0.0582,48,,,16.2,0.0668,7/5/2022,
Current,B13-5-C,13,1,Current2,6/27/2022,6/27/2022,0.0534,49,,,16.7,0.0637,6/30/2022,
Current,B15-1-C,15,1,Current1,6/22/2022,6/22/2022,0.0671,60,,,18.8,0.0772,6/27/2022,Had small extra shoot (B15-1-C (E))in pot (10 leaves)
Current,B15-2-C,15,1,Current1,6/23/2022,6/23/2022,0.0665,56,,,16.5,0.0777,6/29/2022,
Current,B15-3-C,15,2,Current4,6/21/2022,6/21/2022,0.0541,45,,,16.3,0.0599,6/22/2022,
Current,B15-4-C,15,2,Current4,6/22/2022,6/22/2022,0.0539,51,,,21.3,0.0627,6/30/2022,
Current,B15-5-C,15,2,Current3,6/23/2022,6/23/2022,0.0536,45,,,19.8,0.0628,6/29/2022,
Current,B15-1-C (E),15,1,Current1,6/22/2022,6/22/2022,,10,,,,,,This is the extra shoot from B15-1-C
Current,R2-1-C,2,1,Current2,7/7/2022,7/7/2022,0.0588,57,,,18.7,0.0659,7/7/2022,SB harvested root
Current,R2-2-C,2,1,Current1,7/7/2022,7/7/2022,0.0554,66,,,20.5,0.0639,7/7/2022,
Current,R2-3-C,2,2,Current4,7/11/2022,7/12/2022,0.128,103,48,55,19.1,0.1415,7/14/2022,
Current,R2-4-C,2,2,Current3,7/9/2022,7/11/2022,0.1041,98,44,54,16.5,0.1209,7/13/2022,SB harvested root
Current,R8-1-C,8,1,Current1,7/10/2022,7/11/2022,0.0772,73,41,32,19.2,0.0856,7/13/2022,SB harvested root
Current,R8-2-C,8,1,Current2,7/13/2022,7/13/2022,0.088,66,42,24,20.2,0.1075,7/17/2022,
Current,R8-3-C,8,2,Current3,7/8/2022,7/8/2022,0.0696,61,24,21,16.5,0.0808,7/8/2022,
Current,R8-4-C,8,2,Current4,7/8/2022,7/8/2022,0.034,60,30,30,17.5,0.0389,7/9/2022,
Current,R11-1-C,11,1,Current2,7/15/2022,7/15/2022,0.0967,101,53,48,16.9,0.111,7/20/2022,"SB harvested root, single leaf in fridge around ~51hrs"
Current,R11-2-C,11,1,Current2,7/16/2022,7/17/2022,0.0898,105,59,46,21.3,0.098,7/20/2022,"SB, tons of small leaves around the bottom, single leaf in fridge around ~21hrs "
Current,R11-3-C,11,2,Current3,7/17/2022,7/17/2022,0.0989,137,61,76,17.3,0.1081,7/26/2022,"tons of small leaves around the bottom, roots were very dense and not fully clean as I started to lose some cleaning more, single leaf in fridge around ~21hrs "
Current,R11-4-C,11,2,Current4,7/20/2022,7/20/2022,0.0917,93,51,42,17.6,0.1054,7/26/2022,lost a tiny bit of roots at the end ~1cm
Current,R21-1-C,21,1,Current2,7/10/2022,7/11/2022,0.1329,81,49,32,17.2,0.1558,7/14/2022,
Current,R21-2-C,21,1,Current1,7/9/2022,7/11/2022,0.0762,56,39,17,16,0.0862,7/13/2022,SB harvested root
Current,R21-3-C,21,2,Current3,7/11/2022,7/12/2022,0.1001,81,42,39,15.4,0.1127,7/14/2022,
Current,R21-4-C,21,2,Current4,7/13/2022,7/13/2022,0.1139,81,48,33,19.9,0.1372,7/18/2022,
Current,R29-1-C,29,1,Current1,7/12/2022,7/12/2022,0.0571,66,41,25,15.5,0.0667,7/17/2022,
Current,R29-2-C,29,1,Current1,7/12/2022,7/12/2022,0.0933,68,39,29,16.8,0.1087,7/17/2022,
Current,R29-3-C,29,2,Current3,7/9/2022,7/11/2022,0.0896,75,44,31,22.4,0.0989,7/13/2022,SB harvested root: not fully clean after 40 min 
Current,R29-4-C,29,2,Current4,7/16/2022,7/17/2022,0.0518,79,40,39,21,0.0573,7/26/2022,"lost tiny amount of roots, single leaf in fidge around ~21hrs "
Current,R35-1-C,35,1,Current2,7/8/2022,7/8/2022,0.0948,82,45,37,18.1,0.1062,7/9/2022,
Current,R35-2-C,35,1,Current1,7/24/2022,7/25/2022,0.1392,134,55,79,13.5,0.1586,7/26/2022,
Current,R35-3-C,35,2,Current3,7/11/2022,7/12/2022,0.0718,84,38,46,18.2,0.0806,7/14/2022,
Current,R35-4-C,35,2,Current3,7/11/2022,7/12/2022,0.0812,75,44,31,15.1,0.0914,7/15/2022,
Current,R40-1-C,40,1,Current2,7/10/2022,7/11/2022,0.0642,96,42,54,14.4,0.0765,7/14/2022,
Current,R40-2-C,40,1,Current1,7/8/2022,7/8/2022,0.0335,54,36,18,16.8,0.0396,7/13/2022,
Current,R40-3-C,40,2,Current3,7/10/2022,7/11/2022,0.108,78,47,31,19.6,0.127,7/14/2022,
Current,R40-4-C,40,2,Current4,7/13/2022,7/13/2022,0.076,59,37,22,16.6,0.0898,7/18/2022,
Current,R47-1-C,47,1,Current2,7/13/2022,7/13/2022,0.0545,67,38,29,16.8,0.0628,7/18/2022,
Current,R47-2-C,47,1,Current2,7/12/2022,7/12/2022,0.0704,55,38,17,16.8,0.0829,7/17/2022,
Current,R47-3-C,47,2,Current4,7/14/2022,7/14/2022,0.0545,62,35,27,17.3,0.0633,7/20/2022,SB harvested root
Current,R47-4-C,47,2,Current4,7/12/2022,7/12/2022,0.0633,83,44,39,16.6,0.0752,7/17/2022,
Future,B1-1-F,1,1,Future1,6/19/2022,6/19/2022,0.0354,38,,,17.1,0.0448,6/20/2022,
Future,B1-2-F,1,1,Future1,6/15/2022,6/16/2022,0.0441,49,,,16.9,0.0578,6/16/2022,
Future,B1-3-F,1,2,Future4,6/17/2022,6/17/2022,0.0478,42,,,16.4,0.058,6/17/2022,
Future,B1-4-F,1,2,Future3,6/19/2022,6/19/2022,0.0525,49,,,16.9,0.0681,6/20/2022,
Future,B1-5-F,1,1,Future2,6/17/2022,6/17/2022,0.0458,53,,,16.4,0.0577,6/17/2022,
Future,B2-2-F,2,1,Future2,7/7/2022,7/7/2022,0.0225,36,,,12.1,0.0283,7/7/2022,SB harvested root
Future,B2-3-F,2,2,Future3,6/22/2022,6/22/2022,0.0431,46,,,14.5,0.0574,6/24/2022,
Future,B3-1-F,3,1,Future2,6/20/2022,6/20/2022,0.0491,44,,,15.3,0.0686,6/21/2022,SB harvested root
Future,B3-2-F,3,1,Future1,6/20/2022,6/20/2022,0.0446,46,,,16.6,0.0613,6/21/2022,SB harvested root
Future,B3-3-F,3,2,Future4,6/19/2022,6/19/2022,0.0439,43,,,15.1,0.0576,6/20/2022,
Future,B3-4-F,3,2,Future3,6/20/2022,6/20/2022,0.0519,52,,,18,0.0712,6/21/2022,
Future,B3-7-F,3,2,Future4,6/19/2022,6/19/2022,0.0487,43,,,16.6,0.065,6/20/2022,
Future,B4-2-F,4,1,Future2,6/27/2022,6/27/2022,0.023,42,,,17.7,0.0295,6/30/2022,
Future,B8-1-F,8,1,Future2,6/22/2022,6/22/2022,0.0501,55,,,14.6,0.064,6/30/2022,
Future,B8-2-F,8,1,Future2,6/22/2022,6/22/2022,0.0364,52,,,15.5,0.0515,6/24/2022,
Future,B8-3-F,8,2,Future3,6/24/2022,6/24/2022,0.0523,49,,,17.5,0.0678,6/29/2022,rehydrating leaf left for ~41 hrs 
Future,B8-4-F,8,2,Future3,6/24/2022,6/24/2022,0.0621,68,,,14.9,0.0843,6/30/2022,rehydrating leaf left for ~41 hrs 
Future,B8-5-F,8,2,Future4,6/19/2022,6/19/2022,0.0371,41,,,15.9,0.0497,6/21/2022,
Future,B8-6-F,8,1,Future1,6/23/2022,6/23/2022,0.0547,54,,,16.3,0.0765,6/28/2022,
Future,B12-1-F,12,1,Future2,6/19/2022,6/19/2022,0.0302,40,,,17.3,0.0377,6/21/2022,"SB harvested root, lost some roots (~ 1 inch at end) "
Future,B12-2-F,12,1,Future1,6/19/2022,6/19/2022,0.0303,49,,,14.7,0.0381,6/21/2022,
Future,B12-3-F,12,2,Future3,6/22/2022,6/22/2022,0.0254,35,,,14.5,0.034,6/23/2022,
Future,B12-4-F,12,2,Future3,6/19/2022,6/19/2022,0.0342,49,,,14.6,0.0419,6/21/2022,SB harvested root
Future,B13-1-F,13,1,Future2,6/20/2022,6/20/2022,0.0614,59,,,14.5,0.0796,6/21/2022,SB harvested root
Future,B13-2-F,13,1,Future1,6/21/2022,6/21/2022,0.0498,51,,,14.5,0.0648,6/22/2022,
Future,B13-3-F,13,2,Future3,6/22/2022,6/22/2022,0.0386,37,,,NA,0.0504,NA,Harvested but root length not recorded. 
Future,B13-4-F,13,2,Future4,6/21/2022,6/21/2022,0.0442,45,,,14.5,0.059,6/22/2022,
Future,B15-1-F,15,1,Future2,6/20/2022,6/20/2022,0.0494,62,,,22.3,0.0613,6/21/2022,SB harvested root
Future,B15-2-F,15,1,Future1,6/22/2022,6/22/2022,0.0345,53,,,23.5,0.046,6/23/2022,
Future,B15-3-F,15,2,Future3,6/20/2022,6/20/2022,0.0409,55,,,16.8,0.0556,6/21/2022,SB harvested root
Future,B15-4-F,15,2,Future4,6/20/2022,6/20/2022,0.0503,68,,,16.7,0.0657,6/21/2022,
Future,B15-5-F,15,2,Future4,6/18/2022,6/19/2022,0.0585,59,,,14.8,0.0717,6/20/2022,
Future,R2-1-F,2,1,Future2,7/8/2022,7/8/2022,0.0417,95,52,43,19.3,0.05,7/8/2022,
Future,R2-2-F,2,1,Future1,7/12/2022,7/12/2022,0.0572,82,51,31,24.2,0.0689,7/15/2022,
Future,R2-3-F,2,2,Future4,7/11/2022,7/12/2022,0.0622,81,51,30,16.7,0.0751,7/14/2022,lost a tiny bit of roots at the end ~1cm
Future,R2-4-F,2,2,Future4,7/10/2022,7/11/2022,0.0614,63,54,8,17.2,0.0765,7/13/2022,SB harvested root
Future,R8-1-F,8,1,Future1,7/11/2022,7/12/2022,0.0669,73,52,21,17.8,0.0841,7/14/2022,
Future,R8-2-F,8,1,Future1,7/10/2022,7/11/2022,0.0612,78,51,27,19.2,0.0741,7/13/2022,
Future,R8-3-F,8,2,Future4,7/9/2022,7/11/2022,0.0488,75,56,29,17.7,0.0581,7/13/2022,"SB harvested root, didn't notice losing roots, but 1 large root stops suddenly "
Future,R8-4-F,8,2,Future4,7/10/2022,7/11/2022,0.0638,90,59,31,16.8,0.0829,7/13/2022,
Future,R11-1-F,11,1,Future1,7/20/2022,7/20/2022,0.0706,95,76,19,18.9,0.0836,7/26/2022,
Future,R11-2-F,11,1,Future2,7/21/2022,7/21/2022,0.074,93,74,19,15.1,0.0856,7/26/2022,single leaf left in fridge over weekend 
Future,R11-3-F,11,2,Future4,7/29/2022,7/29/2022,0.0691,120,77,43,20,,7/29/2022,skipped rehydrated leaf weight due to time
Future,R11-4-F,11,2,Future3,7/26/2022,7/26/2022,0.0537,108,76,32,16,0.0619,7/26/2022,single leaf left for ~38 hrs 
Future,R21-1-F,21,1,Future2,7/7/2022,7/7/2022,0.038,66,,,15.9,0.0471,7/7/2022,
Future,R21-2-F,21,1,Future1,7/14/2022,7/14/2022,0.0575,56,52,4,16.1,0.07,,
Future,R21-3-F,21,2,Future3,NA,NA,NA,NA,NA,NA,NA,NA,NA,Dead
Future,R21-4-F,21,2,Future3,7/10/2022,7/11/2022,0.051,56,49,6,16.9,0.0687,7/13/2022,
Future,R29-1-F,29,1,Future1,7/11/2022,7/12/2022,0.0457,74,55,19,19.5,0.051,7/14/2022,
Future,R29-2-F,29,1,Future1,7/14/2022,7/14/2022,0.0659,65,52,13,20.6,0.077,7/20/2022,SB harvested root
Future,R29-3-F,29,2,Future3,7/10/2022,7/11/2022,0.0491,75,53,22,17.3,0.0624,7/13/2022,did not notice any root loss but seemed to be missing some at the top 
Future,R29-4-F,29,2,Future4,7/10/2022,7/11/2022,0.0485,77,50,27,22.5,0.0619,7/13/2022,SB harvested root
Future,R35-1-F,35,1,Future2,7/5/2022,7/5/2022,0.0642,79,,,18.1,0.0735,7/6/2022,
Future,R35-2-F,35,1,Future1,7/12/2022,7/12/2022,0.0495,51,46,5,15.9,0.0625,7/17/2022,
Future,R35-3-F,35,2,Future4,7/12/2022,7/12/2022,0.0442,78,42,36,17,0.0574,7/17/2022,
Future,R35-4-F,35,2,Future3,7/10/2022,7/11/2022,0.0925,74,56,18,16.9,0.1164,7/13/2022,SB harvested root
