"Pot.ID","Population","Line","Replicate","Treatment","pot.labelled.","Labelled.Pot.Weight..g.","Pot...dry.Soil.Weight..g.","Soil.Added.Weight..g.","Soil.Mix.Batch.Number.x","Pot...wet.soil.weight..g.","Water.weight..g.","H20.g....soil..g.","First.Calc.of.FC.weight","oven.dried.soil..g.","oven.dried.soil...empty.pot..W0.","g.H20.at.FC..wf.W0.equivalent.","Notes.x","Soil.Mix.Batch.Number.y","Emergence","notes.x","Bolting","Flowering","Wilted_Died","Leaf_Collected","FreshWt_g","SatWt_g","DriedWt_g","Notes.y","LeafArea","LeafPerimeter","Scale..pixels.cm.","Notes.1","SLA","LDMC","RWC","LeafNum_.07222021","Notes.x","LeafNum_08262021","NumRemoved_08262021","RosetteLeafNum_10042021","StalkLeafNum_10042021","notes.y","RosetteLeafNum_bolt","notes.1","RosetteLeafNum_Flower","StalkLeafNum_Flower","notes.2","Harvest.Date","RosetteLeafNum","FreshRosetteG","DryRosetteG","FreshReproG","DryReproG","FreshRootG","DryRootG","Notes.y","Root_to_Shoot","Repro_to_Ros","IJ_FruitCount","FruitCounter","BranchStructure","LatBranches","PrimaryStalks","Height_cm","TotFruit","FruitCollected","FruitColLocation","DoneFlwr","NumFlwrLeft","Notes","FruitColWt_mg","SeedColWt_mg","ScanPosition","ScanPhotoName","IJ_SeedCount","SeedCounter","Notes2"
"B12-11-C","BELM","12","11","Current","yes","6.817","56.8417","50.0247","1","180.05","123.21","2.46","120.77","22.86","29.68",143.57,"","1","6/29/2021","","9/16/2021","10/1/2021","","10/1/2021",0.1012,0.1171,0.0079,"",5.25,16.013,"","",664.556962025316,0.067463706233988,0.854395604395604,6,"",17,"n",22,29,"7 on lateral shoots",NA,"",NA,NA,"flowered 10/1","11/16/2021",22,"1.35",0.1915,"-",1.5509,"0.86",0.11385,"",0.0653409090909091,8.09869451697128,797,"TM","broken",6,9,54.5,"878",10,"15,17,21,23,25,27,29,32,2 on sides","n","13","broken branch is not drying; 3 additional primary stalks had no flowers and were not counted",19.58,12.83,"9","4",504,"","KB assumed"
"B12-11-CF","BELM","12","11","Current/Future","yes","6.443","56.493","50.05","1","176.53","120.04","2.40","120.83","22.87","29.31",143.64,"","1","6/28/2021","","9/13/2021","9/21/2021","","9/22/2021",0.0173,0.0214,0.0025,"open 9/23; no scale in photo",0.999,5.848,"","converted",399.6,0.116822429906542,0.783068783068783,5,"",15,"n",23,24,"",NA,"",NA,NA,"flowered 9/21","11/5/2021",25,"0.2267",0.05136,"0.5091",0.14243,"-",NA,"",NA,2.77316978193146,110,"TM","leaning",7,7,21.5,"124",10,"2 on sides,6,21,22,30,32,35,37,39","y","0","all small fruits; 4 branches are just started; 6 primary stalks noted as tiny",11.02,4.42,"1","6",266,"CH",""
"B12-11-F","BELM","12","11","Future","yes","6.859","56.413","49.554","1","185.43","129.02","2.60","119.63","22.64","29.50",142.22,"","1","6/27/2021","","9/14/2021","9/28/2021","","9/28/2021",0.0249,0.0297,0.0036,"",1.376,7.194,"","",382.222222222222,0.121212121212121,0.816091954022988,9,"",18,"n",27,29,"",NA,"",NA,NA,"flowered 9/29","11/3/2021",27,"0.5896",0.08732,"0.939",0.24528,"-",NA,"",NA,2.80897846999542,144,"TM","bent",8,5,30,"151",10,"11,14,16,18,19,15,22,24,26,29","y","0","4 pirmary stalks noted as tiny; 3 noted as no flower and not counted",19.44,13.49,"12","10",538,"SB","552 was old count (no initials) - weird that this and 10-11 are identical but I double checked it"
"B12-12-C","BELM","12","12","Current","yes","6.64","56.914","50.274","4","157.72","100.81","2.01","121.37","22.97","29.61",144.29,"","4","7/7/2021","this one just seems strange… maybe just super late? Starting to water triggered germ?","9/17/2021","10/3/2021","","10/3/2021",0.0543,0.0619,0.0047,"",3.121,12.272,"","",664.042553191489,0.0759289176090469,0.867132867132867,4,"",10,"n",15,6,"flower 10/3",NA,"",NA,NA,"","11/16/2021",14,"-",0.08158,"-",0.9884,"-",NA,"",NA,12.1157146359402,550,"TM","leaning",6,8,57.5,"584",10,"11,13,15,17,19,21,23,25,27,29","y","0","",21.33,13.2,"10","4",523,"","KB assumed"
"B12-12-CF","BELM","12","12","Current/Future","yes","6.696","56.9385","50.2425","1","179.27","122.33","2.43","121.29","22.96","29.65",144.2,"","1","7/15/2021","initial germination marked 6/28; empty on 7/1 and 7/13; not empty on 7/15 and has open cotelydons","9/13/2021","9/27/2021","","9/22/2021",0.0076,0.0107,0.00107,"dried on 10^-5 scale; no scale in photo",0.57,4.307,"","converted",532.710280373832,0.1,0.678089304257529,2,"",7,"n",16,17,"",NA,"",NA,NA,"flowered 9/27","11/2/2021",15,"0.1344",0.01597,"0.4067",0.08886,"-",NA,"",NA,5.56418284283031,58,"TM","bent",5,3,NA,"61",10,"1,3,10,11,12,13,18,21,24,33","n","-","and leaning",13.63,7.86,"1","10",364,"SB",""
"B12-12-F","BELM","12","12","Future","yes","7.4057","57.1185","49.7128","1","180.93","123.81","2.49","120.01","22.72","30.12",142.67,"","1","6/27/2021","","9/15/2021","10/5/2021","","10/5/2021",0.0278,0.0348,0.0041,"",1.583,7.025,"","",386.09756097561,0.117816091954023,0.771986970684039,10,"",22,"n",28,10,"",NA,"",NA,NA,"flowered 10/5","11/6/2021",30,"0.3754",0.09255,"0.9693",0.27726,"-",NA,"",NA,2.99578606158833,209,"TM","leaning",8,9,20.5,"223",10,"1 on side, 8,10,13,15,17,19,31,33,37","y","0","8 primary stalks noted as tiny; 1 noted as no flower and not counted",16.56,10.58,"3","4",420,"","KB assumed"
"B12-13-C","BELM","12","13","Current","yes","6.808","57.2148","50.4068","8","176.96","119.75","2.38","121.69","23.03","29.84",144.67,"","8","6/28/2021","","9/16/2021","10/3/2021","","10/3/2021",0.1057,0.1178,0.0094,"",5.589,16.811,"","",594.574468085106,0.0797962648556876,0.888376383763838,6,"",15,"n",22,22,"15 on lateral shoots",NA,"",NA,NA,"flowered 10/3","11/15/2021",21,"-",0.21867,"-",1.502,"-",NA,"",NA,6.86879773174189,807,"TM","broken",6,14,54,"940",10,"5,7,11,13,15,17,19,21,23,25","n","23","broken branch is drying",15.4,8.45,"3","5",378,"CC",""
"B12-13-CF","BELM","12","13","Current/Future","yes","6.812","57.0065","50.1945","1","184.84","127.83","2.55","121.18","22.94","29.75",144.06,"","1","6/28/2021","","9/12/2021","9/19/2021","","9/22/2021",0.0286,0.0387,0.0045,"open 9/23; no scale in photo",1.506,6.692,"","",334.666666666667,0.116279069767442,0.704678362573099,8,"on track for CF. this was noted as B1-3",20,"n",23,35,"",NA,"",NA,NA,"flowered 9/19","11/1/2021",23,"0.5214",0.0863,"0.8427",0.27263,"-",NA,"",NA,3.15909617612978,127,"TM","bent",5,1,23,"144",10,"22,26,12,13,14,2,6,8,16,17","y","0","siliques moldy",19.78,13.55,"11","9",510,"SB","overestimate with all the dark/flat seeds: 538"
"B12-13-F","BELM","12","13","Future","yes","6.737","57.1019","50.3649","2","181.33","124.23","2.47","121.59","23.01","29.75",144.55,"","2","6/27/2021","","9/13/2021","9/29/2021","-","9/29/2021",0.0272,0.0343,0.0038,"",1.315,6.547,"","",346.052631578947,0.110787172011662,0.767213114754098,10,"",22,"n",30,29,"",NA,"",NA,NA,"flowered 9/29","11/5/2021",30,"0.4839",0.08956,"0.6879",0.21423,"-",NA,"",NA,2.39202769093345,141,"TM","bent",8,9,23,"157",10,"6,8,10,12,14,16,18,20,22,24","y","0","2 branches are only just started; 8 tiny primary stalks counted",19.33,12.77,"8","7",432,"CC",""
"B12-14-C","BELM","12","14","Current","yes","6.809","56.3944","49.5854","6","182.91","126.52","2.55","119.71","22.66","29.47",142.31,"","6","6/27/2021","","9/16/2021","9/28/2021","","9/28/2021",0.0804,0.0937,0.0068,"no scale in photo",4.399,14.349,"","",646.911764705882,0.0725720384204909,0.846950517836594,6,"",18,"n",22,25,"13 on lateral shoots",NA,"",NA,NA,"flowered 9/28","11/16/2021",20,"-",0.17958,"-",1.6429,"-",NA,"",NA,9.1485688829491,853,"TM","broken",6,11,59,"966",10,"14,15,17,19,22,24,26,28,32,34","n","14","broken branch is drying",21.04,12.95,"2","5",531,"CC",""
