"Pot.ID","Population","Line","Replicate","Treatment","Soil.Mix.Batch.Number.x","Emergence","DayToBolt","DayToFlwr","FreshWt_g","SatWt_g","DriedWt_g","LeafArea","LeafPerimeter","SLA","LDMC","RWC","LeafNum_.07222021","LeafNum_08262021","NumRemoved_08262021","RosetteLeafNum_10042021","RosetteLeafNum_bolt","RosetteLeafNum_Flower","RosetteLeafNum","DryRosetteG","DryReproG","DryRootG","Root_to_Shoot","Repro_to_Ros","BranchStructure","LatBranches","PrimaryStalks","Height_cm","TotFruit","IJ_FruitCount","FruitCounter","FruitCollected","DoneFlwr","NumFlwrLeft","FruitColWt_mg","SeedColWt_mg","IJ_SeedCount","SeedCounter","AG_biomass","l10_FreshWt","l10_SatWt","l10_DriedWt","SQR_DriedWt","l10_LeafArea","l10_LeafPer","l10_SLA","l10_LDMC","SQR_DryRosG","l10_DryRosG","l10_DryReproG","l10_AG_biomass","l10_R_to_R","l10_IJ_Fruits","AvgSeedWt","l10_IJ_Seeds","SQR_IJ_Seeds","AvgSeedNum","l10_AvgSeedNum","fitness","l10_fitness"
"B12-11-C","BELM","12","11","Current","1",5,79,15,0.1012,0.1171,0.0079,5.25,16.013,664.556962025316,0.067463706233988,0.854395604395604,6,17,"n",22,NA,NA,22,0.1915,1.5509,0.11385,0.0653409090909091,8.09869451697128,"broken",6,9,54.5,878,797,"TM",10,"n",13,19.58,12.83,504,"",1.7424,-0.99481948749622,-0.931443104927637,-2.10237290870956,0.0888819441731559,0.720159303405957,1.20447270364896,2.82253221211552,-1.17092980378192,0.437607129740821,-0.717831221695358,0.190583795977179,0.2411478624117,0.908415017672537,2.90145832139611,0.0254563492063492,2.70243053644553,22.4499443206436,50.4,1.70243053644553,40168.8,4.60388885784164
"B12-11-CF","BELM","12","11","Current/Future","1",4,77,8,0.0173,0.0214,0.0025,0.999,5.848,399.6,0.116822429906542,0.783068783068783,5,15,"n",23,NA,NA,25,0.05136,0.14243,NA,NA,2.77316978193146,"leaning",7,7,21.5,124,110,"TM",10,"y",0,11.02,4.42,266,"CH",0.19379,-1.7619538968712,-1.66958622665081,-2.60205999132796,0.05,-0.000434511774017692,0.767007363949804,2.60162547955394,-0.932473764677153,0.226627447587445,-1.2893749849392,-0.846398525711589,-0.712668637279423,0.442976459227614,2.04139268515822,0.0166165413533835,2.42488163663107,16.3095064303001,26.6,1.42488163663107,2926,3.46627432178929
"B12-11-F","BELM","12","11","Future","1",3,79,14,0.0249,0.0297,0.0036,1.376,7.194,382.222222222222,0.121212121212121,0.816091954022988,9,18,"n",27,NA,NA,27,0.08732,0.24528,NA,NA,2.80897846999542,"bent",8,5,30,151,144,"TM",10,"y",0,19.44,13.49,538,"SB",0.3326,-1.60380065290426,-1.52724355068279,-2.44369749923271,0.06,0.138618433899492,0.856970433482492,2.58231593313221,-0.916453948549925,0.295499576987853,-1.0588862729629,-0.6103378624897,-0.4780777551165,0.448548410473198,2.15836249209525,0.0250743494423792,2.73078227566639,23.1948270094864,53.8,1.73078227566639,7747.2,3.88914476776164
"B12-12-C","BELM","12","12","Current","4",13,72,16,0.0543,0.0619,0.0047,3.121,12.272,664.042553191489,0.0759289176090469,0.867132867132867,4,10,"n",15,NA,NA,14,0.08158,0.9884,NA,NA,12.1157146359402,"leaning",6,8,57.5,584,550,"TM",10,"y",0,21.33,13.2,523,"",1.06998,-1.26520017041115,-1.20830935097988,-2.32790214206428,0.0685565460040104,0.494293768665333,1.08891534660491,2.82219591072962,-1.1195927910844,0.285622127994313,-1.08841629901892,-0.00506726326995824,0.0293756599554754,1.08334903574897,2.74036268949424,0.0252390057361377,2.71850168886727,22.8691932520585,52.3,1.71850168886727,28765,4.45886437836152
"B12-12-CF","BELM","12","12","Current/Future","1",21,60,14,0.0076,0.0107,0.00107,0.57,4.307,532.710280373832,0.1,0.678089304257529,2,7,"n",16,NA,NA,15,0.01597,0.08886,NA,NA,5.56418284283031,"bent",5,3,NA,61,58,"TM",10,"n",NA,13.63,7.86,364,"SB",0.10483,-2.11918640771921,-1.97061622231479,-2.97061622231479,0.0327108544675923,-0.244125144327509,0.6341748717626,2.72649107798728,-1,0.126372465355393,-1.79669508386152,-1.05129369109515,-0.979514414203449,0.745401392766369,1.76342799356294,0.0215934065934066,2.56110138364906,19.0787840283389,36.4,1.56110138364906,2111.2,3.32452937721199
"B12-12-F","BELM","12","12","Future","1",3,80,20,0.0278,0.0348,0.0041,1.583,7.025,386.09756097561,0.117816091954023,0.771986970684039,10,22,"n",28,NA,NA,30,0.09255,0.27726,NA,NA,2.99578606158833,"leaning",8,9,20.5,223,209,"TM",10,"y",0,16.56,10.58,420,"",0.36981,-1.55595520408192,-1.45842075605342,-2.38721614328026,0.0640312423743285,0.199480914862356,0.846646328577118,2.58669705814262,-0.928795387226845,0.304220314903525,-1.03362357691108,-0.557112781097651,-0.432021349298804,0.476510795813426,2.32014628611105,0.0251904761904762,2.6232492903979,20.4939015319192,42,1.6232492903979,8778,3.94339557650895
"B12-13-C","BELM","12","13","Current","8",4,80,17,0.1057,0.1178,0.0094,5.589,16.811,594.574468085106,0.0797962648556876,0.888376383763838,6,15,"n",22,NA,NA,21,0.21867,1.502,NA,NA,6.86879773174189,"broken",6,14,54,940,807,"TM",10,"n",23,15.4,8.45,378,"CC",1.72067,-0.975925012692574,-0.928854709548917,-2.0268721464003,0.0969535971483266,0.747334109615905,1.2255935481548,2.77420625601621,-1.09801743685138,0.4676216419286,-0.66021079505175,0.17666993266815,0.235697586817249,0.836880727719899,2.90687353472207,0.0223544973544974,2.57749179983723,19.4422220952236,37.8,1.57749179983723,30504.6,4.4843653345593
"B12-13-CF","BELM","12","13","Current/Future","1",4,76,7,0.0286,0.0387,0.0045,1.506,6.692,334.666666666667,0.116279069767442,0.704678362573099,8,20,"n",23,NA,NA,23,0.0863,0.27263,NA,NA,3.15909617612978,"bent",5,1,23,144,127,"TM",10,"y",0,19.78,13.55,510,"SB",0.35893,-1.54363396687096,-1.41228903498109,-2.34678748622466,0.0670820393249937,0.177824971864682,0.825555932290357,2.52461245808934,-0.934498451243568,0.293768616431368,-1.06398920428479,-0.564426356433887,-0.4449902410539,0.499562847850904,2.10380372095596,0.0265686274509804,2.70757017609794,22.5831795812724,51,1.70757017609794,6477,3.81137389705389
"B12-13-F","BELM","12","13","Future","2",3,78,16,0.0272,0.0343,0.0038,1.315,6.547,346.052631578947,0.110787172011662,0.767213114754098,10,22,"n",30,NA,NA,30,0.08956,0.21423,NA,NA,2.39202769093345,"bent",8,9,23,157,141,"TM",10,"y",0,19.33,12.77,432,"CC",0.30379,-1.5654310959658,-1.46470587995723,-2.42021640338319,0.0616441400296898,0.118925752825777,0.816042340921997,2.53914215620897,-0.95551052342596,0.299265768172706,-1.04788591509301,-0.669119712205569,-0.517426526116082,0.378766202887439,2.14921911265538,0.0295601851851852,2.63548374681491,20.7846096908265,43.2,1.63548374681491,6091.2,3.78470285947029
"B12-14-C","BELM","12","14","Current","6",3,81,12,0.0804,0.0937,0.0068,4.399,14.349,646.911764705882,0.0725720384204909,0.846950517836594,6,18,"n",22,NA,NA,20,0.17958,1.6429,NA,NA,9.1485688829491,"broken",6,11,59,966,853,"TM",10,"n",14,21.04,12.95,531,"CC",1.82248,-1.09474395125155,-1.02826040911222,-2.16749108729376,0.0824621125123532,0.643353961976863,1.15682163559163,2.81084504927063,-1.13923067818154,0.423768804892479,-0.745742032776165,0.215611129612849,0.260662771043621,0.961353162389014,2.93094903116752,0.0243879472693032,2.72509452108147,23.0434372436058,53.1,1.72509452108147,45294.3,4.65604355224899
