"PotID","Treatment","Population","Line","Replicate","Chamber","Flat","Transplanted","DaysToEmergence","EmergenceToBolting","BoltingToRootWashing","BoltingToHarvest","NumEmerged","LeafNumber_PreVern","LeafNumber_Jun6","LeafNumber_Jun13","SL_FreshWt","SL_HydWt","SL_DryWt","SL_Area","SL_Perim","LeafNumber_Total","LeafNumber_Rosette","LeafNumber_UnderLeaves","AG_DryBiomass","BG_DryBiomass","Stomata_avg","SLA","LDMC","RWC","Root_to_Shoot","Stomata_density","l10_DaysToEmergence","l10_SL_FreshWt","l10_SL_HydWt","SQR_SL_HydWt","SQR_SL_DryWt","SQR_SL_Area","l10_SLA","l10_LDMC","l10_LeafNumber_Total","l10_LeafNumber_Rosette","SQR_LeafNumber_UnderLeaves","SQR_AG_DryBiomass","l10_AG_DryBiomass","SQR_BG_DryBiomass","l10_Root_to_Shoot","l10_Stomata_avg","l10_Stomata_density"
"B1-1-C","Current","B",1,"1","1","Current1","no",4,67,1,0,2,10,23,28,0.0357,0.0422,0.0049,1.905,6.858,46,NA,NA,0.1591,0.0208,30,388.775510204082,0.116113744075829,0.82573726541555,0.13073538654934,438.630692451653,0.602059991327962,-1.44733178388781,-1.37468754903833,0.205426385841741,0.07,1.38021737418423,2.58969889998312,-0.93511637093316,1.66275783168157,NA,NA,0.398873413503583,-0.798329820353418,0.14422205101856,-0.88360684468382,1.47712125471966,2.64209901743731
"B1-1-F","Future","B",1,"1","1","Future1","no",3,66,1,0,1,8,18,26,0.0354,0.0448,0.0047,1.941,6.62,38,NA,NA,0.0983,0.0143,35.5,412.978723404255,0.104910714285714,0.765586034912718,0.145473041709054,519.046319401123,0.477121254719662,-1.45099673797421,-1.34872198600186,0.211660104885167,0.0685565460040104,1.39319776054945,2.61592767745265,-0.979180156062426,1.57978359661681,NA,NA,0.313528308131818,-1.00744648216786,0.119582607431014,-0.837217480367074,1.55022835305509,2.71520611577274
"B1-2-C","Current","B",1,"2","1","Current1","no",5,65,1,0,3,10,27,32,0.0435,0.0515,0.0053,2.537,7.803,49,NA,NA,0.1557,0.0188,32,478.679245283019,0.102912621359223,0.826839826839827,0.120745022479127,467.872738615097,0.698970004336019,-1.36151074304536,-1.28819277095881,0.226936114358204,0.0728010988928052,1.5927962832704,2.68004459762094,-0.987531359440402,1.69019608002851,NA,NA,0.394588393138977,-0.80771138743188,0.137113092008021,-0.91813076330444,1.50514997831991,2.67012774103756
"B1-2-F","Future","B",1,"2","1","Future1","no",3,62,1,1,2,12,28,40,0.0441,0.0578,0.0066,2.359,7.971,49,NA,NA,0.1893,0.024,27.5,357.424242424242,0.114186851211073,0.732421875,0.126782884310618,402.078134747349,0.477121254719662,-1.35556141053216,-1.23807216157947,0.240416305603426,0.0812403840463596,1.53590364281097,2.55318400534373,-0.94238390287866,1.69019608002851,NA,NA,0.435086198356142,-0.722849386036203,0.154919333848297,-0.896939372252191,1.43933269383026,2.60431045654791
"B1-3-C","Current","B",1,"3","2","Current3","no",4,67,1,0,3,11,25,30,0.0678,0.079,0.008,3.033,9.764,55,NA,NA,0.2523,0.0338,31,379.125,0.10126582278481,0.84225352112676,0.133967499009116,453.251715533375,0.602059991327962,-1.16877030613294,-1.10237290870956,0.281069386451104,0.0894427190999916,1.741551032844,2.57878242331872,-0.994537104298498,1.74036268949424,NA,NA,0.502294734194974,-0.598082749482425,0.183847763108502,-0.87300055023992,1.49136169383427,2.65633945655192
"B1-3-F","Future","B",1,"3","2","Future4","no",4,63,0,0,3,11,22,37,0.0478,0.058,0.0058,2.557,7.85,42,NA,NA,0.1079,0.0145,33,440.862068965517,0.1,0.804597701149425,0.134383688600556,482.493761696818,0.602059991327962,-1.32057210338788,-1.23657200643706,0.240831891575846,0.0761577310586391,1.59906222518075,2.6443027344634,-1,1.6232492903979,NA,NA,0.328481354113137,-0.966978555317089,0.120415945787923,-0.871653442447936,1.51851393987789,2.68349170259554
"B1-4-C","Current","B",1,"4","2","Current4","no",4,67,1,0,3,10,23,28,0.0759,0.0861,0.0092,3.2,8.951,46,NA,NA,0.1796,0.0235,24,347.826086956522,0.1068524970964,0.867360208062419,0.130846325167038,350.904553961322,0.602059991327962,-1.11975822410452,-1.06499684854635,0.293428015022424,0.0959166304662544,1.78885438199983,2.54136215097435,-0.9712153241081,1.66275783168157,NA,NA,0.423792402008342,-0.745693667668714,0.153297097167559,-0.883238470059549,1.38021124171161,2.54518900442926
"B1-4-F","Future","B",1,"4","2","Future3","no",4,65,1,0,2,11,22,34,0.0525,0.0681,0.0067,2.871,9.001,49,NA,NA,0.1586,0.0211,39.5,428.507462686567,0.0983847283406755,0.745928338762215,0.133039092055486,577.53041172801,0.602059991327962,-1.27984069659404,-1.16685288808721,0.260959767013998,0.0818535277187245,1.69440254957315,2.63195838979568,-1.00707230921196,1.69019608002851,NA,NA,0.398246155034798,-0.799696817018415,0.145258390463339,-0.876020727683892,1.59659709562646,2.76157485834411
"B1-5-C","Current","B",1,"5","1","Current2","yes",NA,NA,5,0,NA,11,25,28,0.0419,0.0506,0.0053,2.192,7.878,50,NA,NA,0.2295,0.0281,28,413.584905660377,0.104743083003953,0.80794701986755,0.122440087145969,409.388646288209,NA,-1.3777859770337,-1.2958494831602,0.22494443758404,0.0728010988928052,1.48054044186574,2.61656468021154,-0.97987464723901,1.69897000433602,NA,NA,0.479061582680139,-0.63921731012672,0.167630546142402,-0.9120763699682,1.44715803134222,2.61213579405987
"B1-5-F","Future","B",1,"5","1","Future2","yes",NA,NA,0,0,NA,11,26,47,0.0458,0.0577,0.0061,2.509,8.213,53,NA,NA,0.1887,0.0228,33,411.311475409836,0.105719237435009,0.76937984496124,0.120826709062003,482.493761696818,NA,-1.33913452199613,-1.23882418684427,0.240208242989286,0.0781024967590666,1.58398232313369,2.61417082630384,-0.975845978144964,1.72427586960079,NA,NA,0.434396132579469,-0.724228099835069,0.150996688705415,-0.917837053164478,1.51851393987789,2.68349170259554
