"","Belm_C","Belm_CF","Belm_F","Roda_C","Roda_CF","Roda_F"
"Population","BELM","BELM","BELM","RODA","RODA","RODA"
"Treatment","Current","Current/Future","Future","Current","Current/Future","Future"
"Emergence_mean","11.421053","11.700000"," 4.500000"," 6.034483"," 5.137931"," 3.821429"
"Emergence_ci_95","6.0285629","5.5148827","1.1379359","1.0999546","0.7107629","0.5086855"
"DayToBolt_mean"," 78.11111"," 75.06667"," 84.60000","105.00000","100.75000","108.48000"
"DayToBolt_ci_95","3.476040","3.096719","3.585299","1.269337","1.187899","2.507481"
"DayToFlwr_mean","16.55556","10.86667","13.26667","13.03704","11.67857","11.20000"
"DayToFlwr_ci_95","1.5990212","1.4246920","1.7993284","1.0172595","1.2282044","0.8349615"
"EmergeToFlwr_mean"," 94.66667"," 85.93333"," 97.86667","117.96296","112.42857","119.68000"
"EmergeToFlwr_ci_95","3.401519","3.235092","2.818468","1.078667","1.549385","1.909246"
"FreshWt_g_mean","0.12505556","0.02958000","0.03486000","0.12623333","0.04801071","0.05170000"
"FreshWt_g_ci_95","0.034280673","0.007570541","0.007456652","0.011100114","0.003691084","0.005351315"
"SatWt_g_mean","0.13938333","0.04111333","0.04181333","0.14359630","0.05708571","0.06117200"
"SatWt_g_ci_95","0.036969410","0.011089358","0.008403356","0.012628593","0.004267695","0.005959724"
"DriedWt_g_mean","0.009477778","0.004275333","0.004473333","0.011455556","0.006335714","0.006402800"
"DriedWt_g_ci_95","0.0023553048","0.0009554454","0.0007650418","0.0010354006","0.0005776041","0.0006480717"
"LeafArea_mean","6.022941","1.661067","1.895067","4.738500","2.235286","2.263960"
"LeafArea_ci_95","1.4021717","0.3853738","0.3335395","0.3418259","0.2031369","0.2429266"
"LeafPerimeter_mean","16.669000"," 7.044400"," 8.034267","15.560038"," 8.827357"," 9.472280"
"LeafPerimeter_ci_95","2.1155884","0.7775110","0.8509591","0.5739931","0.4174143","0.5361848"
"SLA_mean","692.6379","411.9331","428.9648","423.7145","362.4371","363.2773"
"SLA_ci_95","63.99142","44.88649","43.71984","16.09287","28.38264","26.67732"
"LDMC_mean","0.06861324","0.10930183","0.10977810","0.07971120","0.11257291","0.10502381"
"LDMC_ci_95","0.003248393","0.009549320","0.006884366","0.001301830","0.010490750","0.006399679"
"RWC_mean","0.8787674","0.7065889","0.8063927","0.8696556","0.8198026","0.8249976"
"RWC_ci_95","0.01723810","0.05048181","0.01797509","0.01456648","0.02139073","0.01262720"
"LeafNum_.07222021_mean","4.400000","4.300000","6.750000","4.500000","5.166667","6.200000"
"LeafNum_.07222021_ci_95","1.0779849","1.2061799","1.7894083","0.6411587","0.5378491","1.0981109"
"LeafNum_08262021_mean","11.40000","10.75000","14.15000","10.70000","11.76667","14.36667"
"LeafNum_08262021_ci_95","2.675212","3.360780","4.388460","1.411367","1.314472","2.548618"
"RosetteLeafNum_10042021_mean","20.55556","21.40000","28.80000","26.60714","30.42857","34.72000"
