"","Belm_C","Belm_F","Roda_C","Roda_F"
"Population","B","B","R","R"
"Treatment","Current","Future","Current","Future"
"DaysToEmergence_mean","6.071429","5.785714","4.718750","4.093750"
"DaysToEmergence_ci_95","0.8744595","1.0865007","0.2627853","0.2947491"
"EmergenceToBolting_mean","68.45833","65.96154","87.12500","88.29032"
"EmergenceToBolting_ci_95","1.024362","0.926302","1.409064","2.098556"
"BoltingToRootWashing_mean","4.62500","1.83871","4.00000","3.00000"
"BoltingToRootWashing_ci_95","0.7948827","0.6032094","0.7983485","0.7210769"
"BoltingToHarvest_mean","0.156250","0.062500","0.531250","0.516129"
"BoltingToHarvest_ci_95","0.11798059","0.08199871","0.24201903","0.24401409"
"NumEmerged_mean","2.500000","2.322581","3.187500","3.687500"
"NumEmerged_ci_95","0.5628003","0.4974288","0.3824088","0.5215662"
"LeafNumber_PreVern_mean","8.90625","9.46875","7.87500","8.43750"
"LeafNumber_PreVern_ci_95","0.5471006","0.6721060","0.4555891","0.5334892"
"LeafNumber_Jun6_mean","21.56250","22.21875","19.93750","21.75000"
"LeafNumber_Jun6_ci_95","1.177006","1.316711","1.373462","1.742369"
"LeafNumber_Jun13_mean","26.25000","33.96875","24.87500","31.25000"
"LeafNumber_Jun13_ci_95","1.680566","2.385561","1.929101","2.559241"
"SL_FreshWt_mean","0.05620937","0.04352500","0.08182813","0.05551290"
"SL_FreshWt_ci_95","0.006408809","0.003486571","0.009523127","0.004265458"
"SL_HydWt_mean","0.06583750","0.05702812","0.09390313","0.06747000"
"SL_HydWt_ci_95","0.007450374","0.004710324","0.010926744","0.005182751"
"SL_DryWt_mean","0.006590625","0.006884375","0.010975000","0.010467742"
"SL_DryWt_ci_95","0.0006700810","0.0007173575","0.0011649354","0.0006952185"
"SL_Area_mean","2.587063","2.302625","2.718125","2.033323"
"SL_Area_ci_95","0.2533612","0.1758310","0.2667684","0.1472026"
"SL_Perim_mean","8.101187","7.825125","8.626906","7.598677"
"SL_Perim_ci_95","0.4914616","0.3613859","0.5535464","0.3054437"
"LeafNumber_Total_mean","47.62500","48.87500","79.25000","76.48387"
"LeafNumber_Total_ci_95","3.354991","2.837677","7.512652","5.720244"
"LeafNumber_Rosette_mean","29.00000",NA,"43.13333","55.46154"
"LeafNumber_Rosette_ci_95",NA,NA,"2.843195","3.405485"
"LeafNumber_UnderLeaves_mean","35.00000",NA,"36.76667","22.84615"
"LeafNumber_UnderLeaves_ci_95",NA,NA,"5.565889","4.212833"
"AG_DryBiomass_mean","0.2706094","0.1913625","0.4961156","0.4663387"
"AG_DryBiomass_ci_95","0.04672820","0.02339391","0.06467673","0.03553378"
"BG_DryBiomass_mean","0.03705625","0.02904687","0.05903125","0.05363226"
"BG_DryBiomass_ci_95","0.005507852","0.003266857","0.006113285","0.004389392"
"Stomata_avg_mean","34.92188","37.95312","39.40625","44.00000"
"Stomata_avg_ci_95","1.669293","2.320186","1.818001","2.407792"
"SLA_mean","402.0743","348.9797","252.9907","195.5744"
"SLA_ci_95","29.923336","25.957230","13.468172"," 9.776958"
"LDMC_mean","0.1032015","0.1205917","0.1215626","0.1564752"
"LDMC_ci_95","0.005143090","0.006113093","0.014365965","0.007470806"
"RWC_mean","0.8368490","0.7328882","0.8531271","0.7831596"
"RWC_ci_95","0.007983049","0.012951350","0.011231589","0.017160792"
"Root_to_Shoot_mean","0.1414173","0.1556951","0.1232043","0.1152706"
"Root_to_Shoot_ci_95","0.007593056","0.009784107","0.007209294","0.004474921"
"Stomata_density_mean","0.05111740","0.05555444","0.05768147","0.06440564"
"Stomata_density_ci_95","0.002443452","0.003396205","0.002661125","0.003524441"
"l10_DaysToEmergence_mean","0.7497089","0.7104984","0.6691156","0.6043995"
"l10_DaysToEmergence_ci_95","0.05278696","0.06799629","0.02311856","0.02959646"
"l10_SL_FreshWt_mean","-1.282539","-1.375079","-1.110928","-1.264535"
"l10_SL_FreshWt_ci_95","0.05908229","0.03852229","0.05444373","0.03188860"
"l10_SL_HydWt_mean","-1.213611","-1.258711","-1.050957","-1.179641"
"l10_SL_HydWt_ci_95","0.05922505","0.03996116","0.05411331","0.03151087"
"SQR_SL_HydWt_mean","0.2522801","0.2368620","0.3024224","0.2584253"
"SQR_SL_HydWt_ci_95","0.015213845","0.010300168","0.018108342","0.009607145"
