,contrast,estimate,SE,df,t.ratio,p.value,trait,ratio,null
1,Current BELM - Future BELM,7.039660926,1.624954437,71.15576664,4.332220501,0.000273223,Emergence,NA,NA
2,Current BELM - Current RODA,6.590060887,2.483233026,27.3595803,2.653822988,0.059531917,Emergence,NA,NA
3,Current BELM - Future RODA,8.953088669,2.485948289,27.50348633,3.601478241,0.006377174,Emergence,NA,NA
4,Future BELM - Current RODA,-0.449600039,2.489122179,27.6878339,-0.180625942,0.997855844,Emergence,NA,NA
5,Future BELM - Future RODA,1.913427743,2.491831025,27.83244468,0.767880215,0.868185784,Emergence,NA,NA
6,Current RODA - Future RODA,2.363027782,1.314797402,71.62485487,1.797256199,0.283126283,Emergence,NA,NA
7,Current BELM - Future BELM,-1.688432638,1.371082313,64.6557926,-1.231459718,0.609358356,Emergence To Flowering,NA,NA
8,Current BELM - Current RODA,-22.77175391,2.649163845,22.4949322,-8.595826927,8.45E-08,Emergence To Flowering,NA,NA
9,Current BELM - Future RODA,-24.24311249,2.663916278,22.85223832,-9.100553454,2.69E-08,Emergence To Flowering,NA,NA
10,Future BELM - Current RODA,-21.08332127,2.716144722,24.24149824,-7.762223088,2.89E-07,Emergence To Flowering,NA,NA
11,Future BELM - Future RODA,-22.55467985,2.730535298,24.597871,-8.260167839,8.56E-08,Emergence To Flowering,NA,NA
12,Current RODA - Future RODA,-1.471358581,1.064485894,63.24854712,-1.382224593,0.5150403,Emergence To Flowering,NA,NA
13,Current BELM / Future BELM,NA,0.340773669,64.36533955,12.79122773,6.85E-12,l10_FreshWt,3.488558268,1
14,Current BELM / Current RODA,NA,0.172185644,22.02812026,-0.772121628,0.866146265,l10_FreshWt,0.856173826,1
15,Current BELM / Future RODA,NA,0.43493882,22.35669176,3.791504894,0.005032706,l10_FreshWt,2.151878247,1
16,Future BELM / Current RODA,NA,0.050476653,23.61872923,-6.830158263,2.86E-06,l10_FreshWt,0.245423399,1
17,Future BELM / Future RODA,NA,0.127475527,23.94776536,-2.337892946,0.117444223,l10_FreshWt,0.616838843,1
18,Current RODA / Future RODA,NA,0.190492895,63.10820987,12.15990639,1.49E-11,l10_FreshWt,2.513366072,1
19,Current BELM / Future BELM,NA,0.317110973,64.62031799,11.99554536,4.78E-12,l10_SatWt,3.237729648,1
20,Current BELM / Current RODA,NA,0.162737531,22.43655199,-0.830304737,0.83952498,l10_SatWt,0.853596202,1
21,Current BELM / Future RODA,NA,0.394363436,22.7904811,3.762938842,0.005260447,l10_SatWt,2.057207458,1
22,Future BELM / Current RODA,NA,0.051517833,24.16467598,-6.82243867,2.58E-06,l10_SatWt,0.263640357,1
23,Future BELM / Future RODA,NA,0.124810867,24.51787082,-2.308789438,0.123498756,l10_SatWt,0.635385805,1
24,Current RODA / Future RODA,NA,0.183247763,63.23130014,11.56898101,1.42E-11,l10_SatWt,2.410047578,1
25,Current BELM / Future BELM,NA,0.206361838,64.21763049,7.33096668,2.87E-09,l10_DriedWt,2.073937603,1
26,Current BELM / Current RODA,NA,0.148324308,21.80017904,-1.687065104,0.354123799,l10_DriedWt,0.699128208,1
27,Current BELM / Future RODA,NA,0.275772847,22.11318302,1.208143816,0.628305324,l10_DriedWt,1.293729678,1
28,Future BELM / Current RODA,NA,0.073044207,23.30732917,-5.018255532,0.000236388,l10_DriedWt,0.337101852,1
29,Future BELM / Future RODA,NA,0.13578146,23.62131221,-2.168081172,0.161428222,l10_DriedWt,0.623803569,1
30,Current RODA / Future RODA,NA,0.142819873,63.03753093,7.974273714,2.51E-10,l10_DriedWt,1.850489887,1
31,Current BELM / Future BELM,NA,0.285983696,64.09805873,13.39758848,8.84E-12,l10_area,3.250396169,1
32,Current BELM / Current RODA,NA,0.196811825,23.04485919,0.928781031,0.789837633,l10_area,1.169222514,1
33,Current BELM / Future RODA,NA,0.432381105,23.23031558,5.564261779,6.27E-05,l10_area,2.559723229,1
34,Future BELM / Current RODA,NA,0.061292002,24.0102762,-6.000590609,1.92E-05,l10_area,0.359716925,1
35,Future BELM / Future RODA,NA,0.134642721,24.19480394,-1.39717089,0.513084729,l10_area,0.787511151,1
36,Current RODA / Future RODA,NA,0.147349763,61.43954682,11.64176227,2.00E-11,l10_area,2.18925243,1
37,Current BELM / Future BELM,NA,0.117985859,65.50882183,13.52913022,0,l10_Perimeter,2.121851719,1
38,Current BELM / Current RODA,NA,0.092286194,25.18389326,0.630618429,0.921202816,l10_Perimeter,1.056623683,1
39,Current BELM / Future RODA,NA,0.153633467,25.360066,6.387064848,5.86E-06,l10_Perimeter,1.751243156,1
40,Future BELM / Current RODA,NA,0.044262091,26.53850832,-7.843995297,1.29E-07,l10_Perimeter,0.497972443,1
41,Future BELM / Future RODA,NA,0.073674141,26.70922644,-2.150475163,0.163360515,l10_Perimeter,0.8253372,1
42,Current RODA / Future RODA,NA,0.07090005,62.1481434,11.81091543,1.85E-11,l10_Perimeter,1.657395328,1
43,Current BELM / Future BELM,NA,0.090608213,68.07156423,8.535850734,0,l10_SLA,1.614521511,1
44,Current BELM / Current RODA,NA,0.106555314,31.18572898,7.868364643,3.95E-08,l10_SLA,1.658073904,1
