"","contrast","ratio","SE","df","null","t.ratio","p.value","trait","estimate"
"1","Current B / Future B",1.17838851488136,0.0780618716707739,107.581489122981,1,2.47790534567396,0.0691761035236577,"l10_FreshWt",NA
"2","Current B / Current R",0.629918147139828,0.0800861094865791,17.136271210411,1,-3.63516682269749,0.00988798242464306,"l10_FreshWt",NA
"3","Current B / Future R",0.894035732811063,0.113939103808846,17.2937408673801,1,-0.878895158693684,0.81566748932379,"l10_FreshWt",NA
"4","Future B / Current R",0.534558966915294,0.0678078710098718,17.118320630611,1,-4.93749987711751,0.000643907272608879,"l10_FreshWt",NA
"5","Future B / Future R",0.758693522145431,0.0964794262396081,17.2813766309308,1,-2.17164238530918,0.170499110537057,"l10_FreshWt",NA
"6","Current R / Future R",1.41928873913297,0.0936403011777053,107.124125390679,1,5.30724762974387,3.59567623076096e-06,"l10_FreshWt",NA
"7","Current B / Future B",1.05485796704916,0.0699616987792247,106.568758198901,1,0.805238897130743,0.851839225100195,"l10_SatWt",NA
"8","Current B / Current R",0.641817929100918,0.0823540247720252,17.0070389293619,1,-3.45598841337568,0.0144810262576504,"l10_SatWt",NA
"9","Current B / Future R",0.855212594800572,0.110276209685446,17.3291368841043,1,-1.21295146547683,0.627187989828324,"l10_SatWt",NA
"10","Future B / Current R",0.608440139952043,0.0778947714096158,16.9863045920247,1,-3.8809740589987,0.00597678827297554,"l10_SatWt",NA
"11","Future B / Future R",0.810737200187176,0.104324120205681,17.3197972253458,1,-1.63051308802716,0.388346905377353,"l10_SatWt",NA
"12","Current R / Future R",1.33248473753076,0.0888654891835459,106.185104176628,1,4.30407404061004,0.000216929148509237,"l10_SatWt",NA
"13","Current B - Future B",NA,0.000506711571295015,107.665285532735,NA,-1.05704901228002,0.716241096352168,"DriedWt",-0.000535618965948255
"14","Current B - Current R",NA,0.000907453577414833,17.8713210051415,NA,-5.21244615769238,0.000321040462719191,"DriedWt",-0.00473005291288015
"15","Current B - Future R",NA,0.000909958352426799,18.0577491371642,NA,-4.65505995316353,0.00102450994494807,"DriedWt",-0.00423591068542866
"16","Future B - Current R",NA,0.000905296078838657,17.8864977868687,NA,-4.63321784439038,0.00109747923012482,"DriedWt",-0.0041944339469319
"17","Future B - Future R",NA,0.000907888739948843,18.0798620043408,NA,-4.07571055423477,0.00358218218017547,"DriedWt",-0.00370029171948041
"18","Current R - Future R",NA,0.000504740078850672,107.151343859795,NA,0.979003348766532,0.761686527410361,"DriedWt",0.000494142227451492
"19","Current B - Future B",NA,0.141501446846336,107.819035502546,NA,1.49536431661977,0.443842930595794,"Area",0.211596214364079
"20","Current B - Current R",NA,0.227819423661559,19.3229985897724,NA,-1.03581756698737,0.730956343698101,"Area",-0.235979361129582
